0	7949	8095	
1	7953	8092	
2	7957	8093	
3	7947	8095	
4	7948	8097	
5	7956	8096	
6	7957	8092	
7	7957	8090	
8	7955	8091	
9	7960	8097	
10	7950	8095	
11	7951	8094	
12	7954	8092	
13	7950	8099	
14	7947	8095	
15	7954	8097	
16	7954	8095	
17	7951	8093	
18	7951	8096	
19	7953	8094	
20	7949	8096	
21	7950	8095	
22	7958	8095	
23	7941	8094	
24	7796	8094	
25	7569	8093	
26	7623	8097	
27	7822	8099	
28	7933	8094	
29	7973	8095	
30	7964	8094	
31	7951	8093	
32	7939	8091	
33	7949	8094	
34	7944	8093	
35	7946	8095	
36	7951	8095	
37	7949	8098	
38	7945	8095	
39	7951	8097	
40	7947	8090	
41	7950	8094	
42	7955	8094	
43	7950	8097	
44	7952	8092	
45	7950	8096	
46	7948	8091	
47	7953	8099	
48	7944	8094	
49	7950	8096	
50	7950	8092	
51	7956	8097	
52	7951	8092	
53	7949	8091	
54	7951	8093	
55	7954	8094	
56	7949	8096	
57	7944	8097	
58	7957	8090	
59	7951	8089	
60	7958	8095	
61	7952	8091	
62	7952	8090	
63	7950	8093	
64	7956	8095	
65	7955	8095	
66	7955	8091	
67	7949	8097	
68	7949	8092	
69	7952	8093	
70	
71	
