Producing root output for Run00820...
Error in <TGClient::TGClient>: can't open display "localhost:11.0", switching to batch mode...
 In case you run from a remote ssh session, reconnect with ssh -Y
Event start:
  event id:       0x8000
  trigger mask:   0x494d
  serial number:     820
  time stamp:     1420771609, Thu Jan  8 18:46:49 2015
  data size:      323216
Begin of run 820
Opened output file with name : output00000820.root
Custom: begin run 820
Processed 0 events.
Processed 500 events.  Analysis rate = 482625.482625 events/seconds. 
Processed 1000 events.  Analysis rate = 61896.509037 events/seconds. 
Processed 1500 events.  Analysis rate = 36982.248521 events/seconds. 
Processed 2000 events.  Analysis rate = 49910.161709 events/seconds. 
Processed 2500 events.  Analysis rate = 26315.789474 events/seconds. 
Processed 3000 events.  Analysis rate = 50185.687042 events/seconds. 
Processed 3500 events.  Analysis rate = 41781.565973 events/seconds. 
Processed 4000 events.  Analysis rate = 26266.022274 events/seconds. 
Processed 4500 events.  Analysis rate = 121832.358674 events/seconds. 
Processed 5000 events.  Analysis rate = 29772.537811 events/seconds. 
Processed 5500 events.  Analysis rate = 32658.393207 events/seconds. 
Processed 6000 events.  Analysis rate = 88448.611357 events/seconds. 
Processed 6500 events.  Analysis rate = 25071.453643 events/seconds. 
Processed 7000 events.  Analysis rate = 47705.371625 events/seconds. 
Processed 7500 events.  Analysis rate = 52870.889288 events/seconds. 
Processed 8000 events.  Analysis rate = 25023.772584 events/seconds. 
Processed 8500 events.  Analysis rate = 89221.984297 events/seconds. 
Processed 9000 events.  Analysis rate = 32492.851573 events/seconds. 
Processed 9500 events.  Analysis rate = 29884.645269 events/seconds. 
Processed 10000 events.  Analysis rate = 119961.612284 events/seconds. 
Processed 10500 events.  Analysis rate = 26962.899051 events/seconds. 
Processed 11000 events.  Analysis rate = 40390.984732 events/seconds. 
Processed 11500 events.  Analysis rate = 49900.199601 events/seconds. 
Processed 12000 events.  Analysis rate = 26954.177898 events/seconds. 
Processed 12500 events.  Analysis rate = 77724.234416 events/seconds. 
Processed 13000 events.  Analysis rate = 33397.902612 events/seconds. 
Processed 13500 events.  Analysis rate = 29088.370469 events/seconds. 
Processed 14000 events.  Analysis rate = 125470.514429 events/seconds. 
Processed 14500 events.  Analysis rate = 25181.305399 events/seconds. 
Processed 15000 events.  Analysis rate = 40505.508749 events/seconds. 
Processed 15500 events.  Analysis rate = 69628.185489 events/seconds. 
Processed 16000 events.  Analysis rate = 23267.718368 events/seconds. 
Processed 16500 events.  Analysis rate = 77255.871446 events/seconds. 
Processed 17000 events.  Analysis rate = 38408.357659 events/seconds. 
Processed 17500 events.  Analysis rate = 26116.479499 events/seconds. 
Processed 18000 events.  Analysis rate = 169952.413324 events/seconds. 
Processed 18500 events.  Analysis rate = 27965.769898 events/seconds. 
Processed 19000 events.  Analysis rate = 35048.366746 events/seconds. 
Processed 19500 events.  Analysis rate = 65223.062875 events/seconds. 
Processed 20000 events.  Analysis rate = 26289.499974 events/seconds. 
Processed 20500 events.  Analysis rate = 53174.518771 events/seconds. 
Processed 21000 events.  Analysis rate = 47129.795457 events/seconds. 
Processed 21500 events.  Analysis rate = 23824.272168 events/seconds. 
Processed 22000 events.  Analysis rate = 145137.880987 events/seconds. 
Processed 22500 events.  Analysis rate = 31094.527363 events/seconds. 
Processed 23000 events.  Analysis rate = 31125.498008 events/seconds. 
Processed 23500 events.  Analysis rate = 94073.377234 events/seconds. 
Processed 24000 events.  Analysis rate = 25574.139430 events/seconds. 
Processed 24500 events.  Analysis rate = 48942.834769 events/seconds. 
Processed 25000 events.  Analysis rate = 44863.167340 events/seconds. 
Processed 25500 events.  Analysis rate = 26828.352203 events/seconds. 
Processed 26000 events.  Analysis rate = 74682.598954 events/seconds. 
Processed 26500 events.  Analysis rate = 30864.197531 events/seconds. 
Processed 27000 events.  Analysis rate = 31283.238441 events/seconds. 
Processed 27500 events.  Analysis rate = 141203.049986 events/seconds. 
Processed 28000 events.  Analysis rate = 24425.989253 events/seconds. 
Processed 28500 events.  Analysis rate = 44988.303041 events/seconds. 
Processed 29000 events.  Analysis rate = 59751.434034 events/seconds. 
Processed 29500 events.  Analysis rate = 23583.793217 events/seconds. 
Processed 30000 events.  Analysis rate = 85572.479890 events/seconds. 
